from,to,year,type,pps,effect
B04,GS,2022,1,1,
B04,PB,2021,1,"0,8",
B04,HW,2021,1,1,
B04,HH,2018,1,2,
B04,RoS,2017,1,"1,2",
B04,TK,2017,1,1,
B04,SLe,2014,1,"2,6",
B04,SHy,2014,1,"0,8",
B04,SLe,2013,1,3,
B04,RDu,2012,1,"0,6",
BMG,DFa,2023,1,"1,4",
BMG,AH,2022,1,"1,6",
BMG,MR,2021,1,"1,2",
BMG,DH,2019,1,"0,8",
BMG,ASc,2016,1,"0,8",
BMG,LFa,2015,1,0,
BSC,SS,2023,1,"0,4",
BSC,PD,2021,1,1,
BSC,TK,2022,1,0,
BSC,FMa,2022,1,"1,4",
BSC,BLab,2021,1,"0,8",
BSC,ACo,2019,1,"0,2",
BSC,JKl,2020,1,1,
BSC,ANo,2020,1,1,
BSC,PD,2019,1,"1,6",
BSC,JLu,2015,1,"0,8",
BSC,OR,2012,1,"0,8",
BSC,ACo,2012,1,"0,2",
BSC,RW,2012,1,"0,8",
BVB,MR,2022,1,"1,8",
BVB,LFa,2020,1,"0,8",
BVB,ETe,2021,1,3,
BVB,PSt,2018,1,"0,8",
BVB,PB,2017,1,"0,4",
BVB,TT,2017,1,"2,2",
BVB,JKlo,2015,1,"1,2",
DSC,FKr,2022,1,"0,2",
DSC,UN,2021,1,"0,2",
F95,FF,2020,1,"0,6",
FCA,MW,2022,1,"1,2",
FCA,HH,2021,1,"0,8",
FCA,MSc,2020,1,"0,2",
FCA,MBa,2019,1,"1,4",
FCA,DSch,2016,1,"1,2",
FCA,MW,2016,1,"1,6",
FCA,JLu,2012,1,"1,6",
FCB,JN,2023,1,"1,8",
FCB,HF,2021,1,2,
FCB,NK,2019,1,"1,4",
FCB,JH,2018,1,"2,4",
FCB,CA,2017,1,"1,6",
FCB,PGu,2016,1,"2,6",
FCB,JH,2013,1,"2,6",
FCI,MHe,2016,1,"0,2",
FCI,RHa,2016,1,"0,2",
FCK,MG,2021,1,"0,4",
FCK,FF,2021,1,2,
FCK,ABe,2019,1,0,
FCK,APa,2019,1,"0,8",
FCK,PSt,2017,1,"0,2",
FCK,SOL,2012,1,"0,2",
FCKa,MKu,2012,1,"0,4",
FCN,MK,2019,1,"0,2",
FCN,GV,2014,1,"0,6",
FCN,AR,2013,1,"0,6",
FCN,RPr,2013,1,"0,25",
FCN,DH,2012,1,"1,6",
FSVM,ABe,2020,1,"1,2",
FSVM,SS,2019,1,0,
FSVM,JML,2019,1,"1,2",
FSVM,MSc,2017,1,1,
FSVM,KH,2015,1,"0,8",
FSVM,TT,2014,1,"1,8",
H96,ABr,2018,1,"0,2",
H96,MF,2015,1,"0,6",
H96,TS,2016,1,0,
H96,TK,2015,1,"0,4",
H96,MSl,2013,1,"0,8",
HSV,BHo,2018,1,"0,2",
HSV,MG,2018,1,"0,2",
HSV,BLab,2016,1,"0,2",
HSV,MSl,2014,1,"0,2",
HSV,JZ,2015,1,"0,4",
HSV,PKn,2015,1,0,
HSV,BVM,2014,1,0,
HSV,RC,2013,1,0,
HSV,RC,2011,1,"1,2",
HSV,MOe,2011,1,"0,2",
RBL,DT,2022,1,1,
RBL,JMa,2021,1,"0,8",
RBL,ABe,2021,1,3,
RBL,JN,2021,1,"0,8",
RBL,RR,2019,1,"1,6",
RBL,RHa,2018,1,"1,4",
S04,FKr,2022,1,0,
S04,DWa,2020,1,0,
S04,MBa,2020,1,"0,4",
S04,CG,2021,1,"0,4",
S04,HS,2019,1,"1,2",
S04,DT,2019,1,"0,2",
S04,MW,2017,1,"1,2",
S04,ABr,2016,1,"1,4",
S04,JK,2014,1,"1,4",
S04,RdM,2015,1,2,
S04,HS,2012,1,"0,4",
S04,RR,2011,1,"1,8",
SCF,MSo,2012,1,"0,6",
SGE,OG,2023,1,"1,6",
SGE,AH,2021,1,"1,4",
SGE,NK,2018,1,"0,6",
SGE,AVe,2016,1,"0,6",
SGE,TS,2015,1,2,
SGE,AVe,2014,1,"0,2",
SGF,MBü,2013,1,"0,6",
SGF,LPr,2013,1,"0,67",
SVD,NM,2016,1,0,
SVD,RBer,2016,1,0,
SVD,DSch,2016,1,"1,2",
SVW,ANo,2017,1,"0,6",
SVW,VS,2016,1,"0,8",
SVW,RDu,2014,1,"0,2",
SVW,TS,2013,1,"0,6",
TSGH,ABr,2023,1,"0,2",
TSGH,SH,2022,1,"0,4",
TSGH,AS,2020,1,"1,6",
TSGH,JN,2019,1,"0,8",
TSGH,MG,2015,1,1,
TSGH,HS,2016,1,"0,8",
TSGH,MBab,2012,1,"0,2",
TSGH,FKr,2012,1,0,
TSGH,MKu,2013,1,"0,8",
TSGH,HSt,2012,1,"1,2",
VfB,PM,2022,1,"0,4",
VfB,MWi,2022,1,"1,2",
VfB,BLab,2023,1,"0,2",
VfB,MW,2019,1,"0,4",
VfB,AHi,2018,1,1,
VfB,HW,2018,1,"0,6",
VfB,AZo,2015,1,"1,2",
VfB,JKr,2016,1,"1,6",
VfB,AVe,2014,1,"0,8",
VfB,HS,2015,1,"1,4",
VFB,HS,2014,1,"1,4",
VfB,TSch,2014,1,"0,2",
VfB,BLab,2013,1,"0,8",
VfLB,TR,2022,1,0,
VfLW,MvB,2021,1,0,
VfLW,MF,2021,1,"0,2",
VfLW,FKo,2022,1,"1,6",
VfLW,OG,2021,1,"1,4",
VfLW,BLab,2019,1,2,
VfLW,MSc,2018,1,"0,8",
VfLW,AJo,2017,1,"0,8",
VfLW,DH,2016,1,"0,4",
VfLW,VIs,2017,1,"0,6",
VfLW,FMa,2012,1,"0,2",
VfLW,LGK,2012,1,1,
ABe,RBL,2021,2,3,5
ABe,FSVM,2019,2,"1,8",1
ABr,TSGH,2022,2,"1,8",5
ABr,S04,2015,2,3,4
ACo,BSC,2019,2,"0,8",2
AH,BMG,2021,2,"0,8",2
AH,SGE,2018,2,"0,8",4
AJo,VfLW,2017,2,"1,6",5
ANo,BSC,2020,2,"1,25",4
ANo,SVW,2016,2,"1,4",4
AS,TSGH,2019,2,1,4
ASc,BMG,2015,2,3,6
