from,to,year,type,pps,effect
B04,GS,2022,1,1,
B04,PB,2021,1,"0,8",
B04,HW,2021,1,1,
B04,HH,2018,1,2,
B04,ROS,2017,1,"1,2",
B04,TK,2017,1,1,
B04,SLE,2014,1,"2,6",
B04,SHY,2014,1,"0,8",
B04,SLE,2013,1,3,
B04,RDU,2012,1,"0,6",
BMG,DFA,2023,1,"1,4",
BMG,AH,2022,1,"1,6",
BMG,MR,2021,1,"1,2",
BMG,DH,2019,1,"0,8",
BMG,ASC,2016,1,"0,8",
BMG,LFA,2015,1,0,
BSC,SS,2023,1,"0,4",
BSC,PD,2021,1,1,
BSC,TK,2022,1,0,
BSC,FMA,2022,1,"1,4",
BSC,BLAB,2021,1,"0,8",
BSC,ACO,2019,1,"0,2",
BSC,JKL,2020,1,1,
BSC,ANO,2020,1,1,
BSC,PD,2019,1,"1,6",
BSC,JLU,2015,1,"0,8",
BSC,OR,2012,1,"0,8",
BSC,ACO,2012,1,"0,2",
BSC,RW,2012,1,"0,8",
BVB,MR,2022,1,"1,8",
BVB,LFA,2020,1,"0,8",
BVB,ETE,2021,1,3,
BVB,PST,2018,1,"0,8",
BVB,PB,2017,1,"0,4",
BVB,TT,2017,1,"2,2",
BVB,JKLO,2015,1,"1,2",
DSC,FKR,2022,1,"0,2",
DSC,UN,2021,1,"0,2",
F95,FF,2020,1,"0,6",
FCA,MW,2022,1,"1,2",
FCA,HH,2021,1,"0,8",
FCA,MSC,2020,1,"0,2",
FCA,MBA,2019,1,"1,4",
FCA,DSCH,2016,1,"1,2",
FCA,MW,2016,1,"1,6",
FCA,JLU,2012,1,"1,6",
FCB,JN,2023,1,"1,8",
FCB,HF,2021,1,2,
FCB,NK,2019,1,"1,4",
FCB,JH,2018,1,"2,4",
FCB,CA,2017,1,"1,6",
FCB,PGU,2016,1,"2,6",
FCB,JH,2013,1,"2,6",
FCI,MHE,2016,1,"0,2",
FCI,RHA,2016,1,"0,2",
FCK,MG,2021,1,"0,4",
FCK,FF,2021,1,2,
FCK,ABE,2019,1,0,
FCK,APA,2019,1,"0,8",
FCK,PST,2017,1,"0,2",
FCK,SOL,2012,1,"0,2",
FCKA,MKU,2012,1,"0,4",
FCN,MK,2019,1,"0,2",
FCN,GV,2014,1,"0,6",
FCN,AR,2013,1,"0,6",
FCN,RPR,2013,1,"0,25",
FCN,DH,2012,1,"1,6",
FSVM,ABE,2020,1,"1,2",
FSVM,SS,2019,1,0,
FSVM,JML,2019,1,"1,2",
FSVM,MSC,2017,1,1,
FSVM,KH,2015,1,"0,8",
FSVM,TT,2014,1,"1,8",
H96,ABR,2018,1,"0,2",
H96,MF,2015,1,"0,6",
H96,TS,2016,1,0,
H96,TK,2015,1,"0,4",
H96,MSL,2013,1,"0,8",
HSV,BHO,2018,1,"0,2",
HSV,MG,2018,1,"0,2",
HSV,BLAB,2016,1,"0,2",
HSV,MSL,2014,1,"0,2",
HSV,JZ,2015,1,"0,4",
HSV,PKN,2015,1,0,
HSV,BVM,2014,1,0,
HSV,RC,2013,1,0,
HSV,RC,2011,1,"1,2",
HSV,MOE,2011,1,"0,2",
RBL,DT,2022,1,1,
RBL,JMA,2021,1,"0,8",
RBL,ABE,2021,1,3,
RBL,JN,2021,1,"0,8",
RBL,RR,2019,1,"1,6",
RBL,RHA,2018,1,"1,4",
S04,FKR,2022,1,0,
S04,DWA,2020,1,0,
S04,MBA,2020,1,"0,4",
S04,CG,2021,1,"0,4",
S04,HS,2019,1,"1,2",
S04,DT,2019,1,"0,2",
S04,MW,2017,1,"1,2",
S04,ABR,2016,1,"1,4",
S04,JK,2014,1,"1,4",
S04,RDM,2015,1,2,
S04,HS,2012,1,"0,4",
S04,RR,2011,1,"1,8",
SCF,MSO,2012,1,"0,6",
SGE,OG,2023,1,"1,6",
SGE,AH,2021,1,"1,4",
SGE,NK,2018,1,"0,6",
SGE,AVE,2016,1,"0,6",
SGE,TS,2015,1,2,
SGE,AVE,2014,1,"0,2",
SGF,MBÜ,2013,1,"0,6",
SGF,LPR,2013,1,"0,67",
SVD,NM,2016,1,0,
SVD,RBER,2016,1,0,
SVD,DSCH,2016,1,"1,2",
SVW,ANO,2017,1,"0,6",
SVW,VS,2016,1,"0,8",
SVW,RDU,2014,1,"0,2",
SVW,TS,2013,1,"0,6",
TSGH,ABR,2023,1,"0,2",
TSGH,SH,2022,1,"0,4",
TSGH,AS,2020,1,"1,6",
TSGH,JN,2019,1,"0,8",
TSGH,MG,2015,1,1,
TSGH,HS,2016,1,"0,8",
TSGH,MBAB,2012,1,"0,2",
TSGH,FKR,2012,1,0,
TSGH,MKU,2013,1,"0,8",
TSGH,HST,2012,1,"1,2",
VFB,PM,2022,1,"0,4",
VFB,MWI,2022,1,"1,2",
VFB,BLAB,2023,1,"0,2",
VFB,MW,2019,1,"0,4",
VFB,AHI,2018,1,1,
VFB,HW,2018,1,"0,6",
VFB,AZO,2015,1,"1,2",
VFB,JKR,2016,1,"1,6",
VFB,AVE,2014,1,"0,8",
VFB,HS,2015,1,"1,4",
VFB,HS,2014,1,"1,4",
VFB,TSCH,2014,1,"0,2",
VFB,BLAB,2013,1,"0,8",
VFLB,TR,2022,1,0,
VFLW,MVB,2021,1,0,
VFLW,MF,2021,1,"0,2",
VFLW,FKO,2022,1,"1,6",
VFLW,OG,2021,1,"1,4",
VFLW,BLAB,2019,1,2,
VFLW,MSC,2018,1,"0,8",
VFLW,AJO,2017,1,"0,8",
VFLW,DH,2016,1,"0,4",
VFLW,VIS,2017,1,"0,6",
VFLW,FMA,2012,1,"0,2",
VFLW,LGK,2012,1,1,
ABE,RBL,2021,2,3,5
ABE,FSVM,2019,2,"1,8",1
ABR,TSGH,2022,2,"1,8",5
ABR,S04,2015,2,3,4
ACO,BSC,2019,2,"0,8",2
AH,BMG,2021,2,"0,8",2
AH,SGE,2018,2,"0,8",4
AJO,VFLW,2017,2,"1,6",5
ANO,BSC,2020,2,"1,25",4
ANO,SVW,2016,2,"1,4",4
AS,TSGH,2019,2,1,4
