from,to,year,type,pps
FCK,ABe,2019,1,0
FSVM,ABe,2020,1,"1,2"
RBL,ABe,2021,1,"0,8"
H96,ABr,2018,1,"0,2"
S04,ABr,2016,1,"1,4"
TSGH,ABr,2023,1,"0,2"
BSC,ACo,2019,1,"0,2"
BSC,ACo,2012,1,"0,2"
BMG,AH,2022,1,"1,6"
SGE,AH,2021,1,"1,4"
VfB,AHi,2018,1,1
VfLW,AJo,2017,1,"0,8"
BSC,ANo,2020,1,1
SVW,ANo,2017,1,"0,6"
FCK,APa,2019,1,"0,8"
FCN,AR,2013,1,"0,6"
TSGH,AS,2020,1,"1,6"
BMG,ASc,2016,1,"0,8"
SGE,AVe,2016,1,"0,6"
SGE,AVe,2014,1,"0,2"
VfB,AVe,2014,1,"0,8"
VfB,AZo,2015,1,"1,2"
GS,B04,2021,2,2
HH,B04,2017,2,"0,8"
HW,B04,2021,2,2
RoS,B04,2014,2,2
SHy,B04,2013,2,"2,4"
SLe,B04,2014,2,"2,6"
SLe,B04,2012,2,"2,2"
TD,B04,2018,2,"2,4"
TK,B04,2017,2,1
XA,B04,2022,2,"1,4"
HSV,BHo,2018,1,"0,2"
BSC,BLab,2021,1,"0,8"
HSV,BLab,2016,1,"0,2"
VfB,BLab,2023,1,"0,2"
VfB,BLab,2013,1,"0,8"
VfLW,BLab,2019,1,2
AH,BMG,2021,2,"0,8"
ASc,BMG,2015,2,3
DFa,BMG,2022,2,"1,6"
DH,BMG,2016,2,"1,6"
GS,BMG,2023,2,"0,5"
MR,BMG,2019,2,2
ACo,BSC,2019,2,"0,8"
ANo,BSC,2020,2,"1,25"
BLab,BSC,2020,2,2
FMa,BSC,2022,2,"1,4"
JKl,BSC,2019,2,"1,6"
JLu,BSC,2012,2,"1,4"
MSk,BSC,2012,2,0
OR,BSC,2012,2,"1,2"
PD,BSC,2023,2,"0,8"
PD,BSC,2021,2,"0,2"
PD,BSC,2015,2,"1,4"
SS,BSC,2022,2,"0,8"
TK,BSC,2021,2,"1,4"
ETe,BVB,2022,2,"2,4"
ETe,BVB,2020,2,2
LFa,BVB,2018,2,"2,2"
MR,BVB,2021,2,"2,4"
PB,BVB,2017,2,"2,6"
PSt,BVB,2017,2,"1,8"
TT,BVB,2015,2,2
HSV,BVM,2014,1,0
FCB,CA,2017,1,"1,6"
S04,CG,2021,1,"0,4"
BMG,DFa,2023,1,"1,4"
BMG,DH,2019,1,"0,8"
FCN,DH,2012,1,"1,6"
VfLW,DH,2016,1,"0,4"
FKr,DSC,2021,2,1
MKo,DSC,2022,2,"0,5"
FCA,DSch,2016,1,"1,2"
SVD,DSch,2016,1,"1,2"
RBL,DT,2022,1,1
S04,DT,2019,1,"0,2"
S04,DWa,2020,1,0
BVB,ETe,2021,1,3
UR,F95,2020,2,"1,2"
DSch,FCA,2016,2,"1,4"
EnMa,FCA,2022,2,"0,6"
HH,FCA,2020,2,1
MBa,FCA,2016,2,2
MSc,FCA,2019,2,"1,4"
MW,FCA,2021,2,"0,8"
MW,FCA,2012,2,"0,2"
CA,FCB,2016,2,3
HF,FCB,2019,2,"1,8"
JH,FCB,2017,2,3
JN,FCB,2021,2,"2,6"
NK,FCB,2018,2,"2,6"
PGu,FCB,2013,2,"2,6"
TT,FCB,2023,2,2
MKau,FCI,2016,2,"0,2"
MWa,FCI,2016,2,2
FF,FCK,2021,2,"1,4"
FS,FCK,2012,2,"0,25"
KBa,FCK,2012,2,0
MG,FCK,2019,2,"1,4"
MSch,FCK,2019,2,0
SB,FCK,2021,2,"1,6"
SR,FCK,2017,2,"1,8"
BSch,FCN,2019,2,"0,2"
GV,FCN,2013,2,"0,4"
MWie,FCN,2012,2,"1,2"
