from,to,year,type,pps
RBL,DT,2022,1,1
MR,RBL,2022,2,2
VfLB,TR,2022,1,0
TL,VfLB,2022,2,"1,2"
B04,GS,2022,1,1
XA,B04,2022,2,"1,4"
VfB,PM,2022,1,"0,4"
MWi,VfB,2022,2,"1,8"
S04,FKr,2022,1,0
TR,S04,2022,2,"0,6"
VfB,MWi,2022,1,"1,2"
BLab,VfB,2022,2,"0,4"
TSGH,ABr,2023,1,"0,2"
PM,TSGH,2023,2,0
FCB,JN,2023,1,"1,8"
TT,FCB,2023,2,2
VfB,BLab,2023,1,"0,2"
SH,VfB,2023,2,"1,6"
BSC,SS,2023,1,"0,4"
PD,BSC,2023,2,"0,8"
BMG,DFa,2023,1,"1,4"
GS,BMG,2023,2,"0,5"
SGE,OG,2023,1,"1,6"
DTo,SGE,2023,2,"1,5"
VfLW,MvB,2021,1,0
MF,VfLW,2021,2,"0,2"
VfLW,MF,2021,1,"0,2"
FK,VfLW,2021,2,"1,4"
BSC,PD,2021,1,1
TK,BSC,2021,2,"1,4"
RBL,JMa,2021,1,"1,29"
ABe,RBL,2021,2,"0,8"
RBL,ABe,2021,1,"0,8"
DT,RBL,2021,2,2
BSC,TK,2022,1,0
FMa,BSC,2022,2,"1,4"
DSC,FKr,2022,1,"0,2"
MKo,DSC,2022,2,"0,5"
VfLW,FK,2022,1,"1,6"
NK,VfLW,2022,2,"0,4"
BVB,MR,2022,1,"1,8"
ETe,BVB,2022,2,"2,4"
BSC,FMa,2022,1,"1,4"
SS,BSC,2022,2,"0,8"
FCA,MW,2022,1,"1,2"
EnMa,FCA,2022,2,"0,6"
TSGH,SH,2022,1,"0,4"
ABr,TSGH,2022,2,"1,8"
BMG,AH,2022,1,"1,6"
DFa,BMG,2022,2,"1,6"
S04,DWa,2020,1,0
MBa,S04,2020,2,"0,6"
FSVM,ABe,2020,1,"1,2"
JML,FSVM,2020,2,"0,2"
BVB,LFa,2020,1,"0,8"
ETe,BVB,2020,2,2
S04,MBa,2020,1,"0,4"
CG,S04,2020,2,"0,6"
BS,FSVM,2021,2,"0,8"
BSC,BL,2021,1,"0,8"
PD,BSC,2021,2,"0,2"
S04,CG,2021,1,"0,4"
DGr,S04,2021,2,"0,8"
DSC,UN,2021,1,"0,2"
FKr,DSC,2021,2,1
B04,PB,2021,1,"0,8"
HW,B04,2021,2,2
FCK,MG,2021,1,"0,4"
FF,FCK,2021,2,"1,4"
FCA,HH,2021,1,"0,8"
MW,FCA,2021,2,"0,8"
VfLW,OG,2021,1,"1,4"
MvB,VfLW,2021,2,"2,6"
BVB,ETe,2021,1,3
MR,BVB,2021,2,"2,4"
FCK,FF,2021,1,2
SB,FCK,2021,2,"1,6"
BMG,MR,2021,1,"1,2"
AH,BMG,2021,2,"0,8"
SGE,AH,2021,1,"1,4"
OG,SGE,2021,2,"0,8"
FCB,HF,2021,1,2
JN,FCB,2021,2,"2,6"
RBL,JN,2021,1,"0,8"
JMa,RBL,2021,2,"0,8"
B04,HW,2021,1,1
GS,B04,2021,2,2
HF,FCB,2019,2,"1,8"
FCB,NK,2019,1,"1,4"
MSch,FCK,2019,2,0
FCK,ABe,2019,1,0
JML,FSVM,2019,2,0
FSVM,SS,2019,1,0
ABe,FSVM,2019,2,"1,8"
