from,to,year,type,pps
SeFC,JL,2022,1,"0,8"
JS,SeFC,2022,2,1
FCE,FR,2022,1,"0,2"
JA,FCE,2022,2,"0,4"
ViCF,UM,2022,1,"1,4"
QS,ViCF,2022,2,"1,8"
RCC,EC,2022,1,"0,2"
CC,RCC,2022,2,"1,2"
JA,FCE,2022,1,"0,2"
PMa,FCE,2022,2,"0,4"
VCF,GG,2023,1,"0,8"
RBa,VCF,2023,2,"1,2"
FCE,PMa,2023,1,"0,8"
SBe,FCE,2023,2,0
SeFC,JS,2023,1,"0,8"
JLM,SeFC,2023,2,"2,6"
RVad,Pa,2023,1,"0,8"
PP,RVad,2023,2,"1,4"
RCD,DMa,2023,1,"0,6"
LG,RCD,2023,2,"0,8"
GCF,QSF,2023,1,"0,4"
PBo,GCF,2023,2,"1,4"
RCC,CC,2023,1,"0,8"
RB,RCC,2023,2,"0,8"
UDA,Ru,2023,1,1
VM,UDA,2023,2,"0,2"
RV,AI,2023,1,"0,6"
FR,RV,2023,2,"1,8"
ALA,JaC,2021,1,"0,2"
JLM,ALA,2021,2,"0,4"
GCF,Mi,2021,1,"0,2"
QSF,GCF,2021,2,1
UDLe,PLo,2021,1,"0,4"
JPe,UDLe,2021,2,"0,4"
FCBa,RK,2021,1,"1,2"
SBa,FCBa,2021,2,1
FCE,FE,2021,1,"0,4"
SeMa,FCE,2021,2,"0,5"
FCE,SeMa,2021,1,"0,4"
FR,FCE,2021,2,"1,4"
UDLe,JPe,2021,1,"0,4"
AL,UDLe,2021,2,"0,8"
CCF,ACe,2022,1,"0,4"
Se,CCF,2022,2,"1,2"
GrCF,RMo,2022,1,"0,2"
RT,GrCF,2022,2,"0,8"
RCDM,LG,2022,1,0
JAg,RCDM,2022,2,"1,2"
ALA,JLM,2022,1,"0,4"
JV,ALA,2022,2,"1,2"
GrCF,RT,2022,1,"0,8"
AKa,GrCF,2022,2,"1,6"
RCD,VM,2022,1,"0,2"
LBl,RCD,2022,2,1
RCD,LBl,2022,1,"0,6"
DMa,RCD,2022,2,"0,8"
ABI,Mar,2022,1,"1,4"
EV,ABI,2022,2,2
ALA,JV,2022,1,"1,2"
LG,ALA,2022,2,"1,2"
VCF,PBo,2022,1,"1,2"
GG,VCF,2022,2,"1,2"
VCF,Vo,2021,1,"1,4"
PBo,VCF,2021,2,2
GCF,PBo,2021,1,"0,8"
Mi,GCF,2021,2,0
RVad,Se,2021,1,"0,2"
Pa,RVad,2021,2,"0,8"
RM,ZiZi,2021,1,"2,6"
CA,RM,2021,2,"2,6"
GrFC,DMa,2021,1,"0,2"
RMo,GrFC,2021,2,"0,6"
ViCF,JaC,2020,1,"1,2"
UM,ViCF,2020,2,"1,6"
FCBa,QS,2020,1,"2,4"
RK,FCBa,2020,2,"1,4"
FCE,Pa,2020,1,"1,4"
JA,FCE,2020,2,2
RCC,OGa,2020,1,"0,4"
EC,RCC,2020,2,"2,4"
ABI,GGa,2021,1,"1,4"
Mar,ABI,2021,2,"1,4"
SDH,Mi,2021,1,"0,2"
Pa,SDH,2021,2,"0,8"
ALA,PMa,2021,1,"0,8"
AB,ALA,2021,2,"0,8"
FCE,JA,2021,1,"0,4"
FE,FCE,2021,2,"1,2"
ALA,AB,2021,1,"0,2"
JaC,ALA,2021,2,"1,6"
VCF,JG,2021,1,"0,6"
Vo,VCF,2021,2,"1,4"
AlC,VCF,2019,2,"1,6"
VCF,Mar,2019,1,2
PMa,RCD,2019,2,"0,6"
RCD,DG,2019,1,"0,8"
LC,CDL,2019,2,1
CDL,MaP,2019,1,"0,4"
OGa,RCC,2019,2,1
RCC,FE,2019,1,"0,6"
JAg,CDL,2019,2,1
CDL,LC,2019,1,"0,6"
Ab,RCD,2019,2,"1,6"
RCD,PMa,2019,1,"0,4"
FCBa,EV,2020,2,"1,8"
QS,FCBa,2020,1,"2,4"
ATr,RBe,2020,2,"1,4"
RBe,Ru,2020,1,"0,8"
FRu,RCD,2020,2,0
RCD,Ab,2020,1,"0,8"
Vo,VCF,2020,2,"1,4"
VCF,AlC,2020,1,"0,8"
JMu,ALA,2020,2,1
ALA,AG,2020,1,0
RBe,ATr,2020,1,"2,2"
MPe,RBe,2020,2,"1,2"
VCF,Vo,2020,1,"1,4"
JG,VCF,2020,2,"1,4"
ALA,JMu,2020,1,1
PMa,ALA,2020,2,"0,8"
RCDM,VM,2020,1,"0,8"
LG,RCDM,2020,2,"1,6"
SDH,LF,2018,1,"0,2"
FR,SDH,2018,2,"0,4"
RM,JL,2018,1,"0,2"
SSo,RM,2018,2,"2,4"
RCC,AMo,2018,1,"0,8"
MCar,RCC,2018,2,"1,4"
AB,EBe,2018,1,"0,4"
GGa,AB,2018,2,"2,2"
ViCF,JaC,2018,1,1
LG,ViCF,2018,2,"0,8"
RSo,AG,2018,1,"0,6"
IA,RSo,2018,2,"2,2"
ViCF,LG,2019,1,"0,6"
JaC,ViCF,2019,2,1
RCC,MCar,2019,1,"0,8"
FE,RCC,2019,2,"1,4"
SeFC,PMa,2019,1,"0,8"
JC,SeFC,2019,2,"2,4"
RM,SSo,2019,1,"1,8"
ZiZi,RM,2019,2,2
RV,Mi,2019,1,0
PJ,RV,2019,2,1
RCD,Ru,2019,1,"2,2"
DG,RCD,2019,2,"0,8"
SDH,FR,2019,1,"1,4"
Mi,SDH,2019,2,"0,8"
ALA,Ab,2019,1,"0,8"
AG,ALA,2019,2,1
RBe,QS,2019,1,"1,4"
Ru,RBe,2019,2,1
SeFC,JCU,2019,1,"1,4"
JL,SeFC,2019,2,2
RCD,DG,2018,1,"2,6"
Ru,RCD,2018,2,"1,4"
RM,ZiZi,2018,1,"1,6"
JL,RM,2018,2,"2,6"
GFC,PMa,2018,1,"0,8"
Eu,GFC,2018,2,"1,6"
ABI,CZ,2018,1,"0,6"
EBe,ABI,2018,2,"1,2"
SeFC,VMo,2018,1,2
PMa,SeFC,2018,2,"1,4"
RCC,JCU,2018,1,1
AMo,RCC,2018,2,"1,6"
RSo,IA,2018,1,"1,2"
