id,name,type,league
Ab,Abelardo,1,3
ABI,Athletic Bilbao,2,3
ACe,Álvaro Cervera,1,3
AFe,Albert Ferrer,1,3
AG,Asier Garitano,1,3
AL,Alessio Lisci,1,3
ALA,Deportivo Alaves,2,3
AlC,Albert Celades,1,3
AM,Atlètico Madrid,2,3
AMo,Antonio Mohamed,1,3
ARe,Abel Resino,1,3
ATr,Alexis Trujillo,1,6
BSchu,Bernd Schuster,1,3
CAO,CA Osasuna,2,3
CCF,Cádiz CF,2,3
CCo,Cosmin Contra,1,3
CDL,CD Leganes,2,3
CoG,Constantin Galca,1,3
CPa,Cristobal Parralo,1,3
CZ,Cuco Ziganda,1,3
DG,David Gallego,1,3
DLC,Deportivo La Coruna,2,3
DP,Domingos Paciencia,1,3
DSi,Diego Simeone,1,3
EBe,Eduardo Berizzo,1,3
EMa,Enrique Martín,1,3
Eu,Eusebio,1,3
EV,Ernesto Valverde,1,3
FCBa,FC Barcelona,2,3
FCCo,FC Córdoba,2,3
FCE,FC Elche,2,3
FCM,FC Malaga,2,3
FE,Fran Escribá,1,3
FGo,Fabri Gonzales,1,3
FRu,Francisco Rufete,1,3
FV,Fernando Vázquez,1,3
GCa,Gabriel Calderon,1,3
GCF,Getafe CF,2,3
GdB,Giovanni De Biasi,1,3
GFC,Girona FC,2,3
GG,Gennaro Gattuso,1,3
GGa,Gaizka Garitano,1,3
GMa,Gregorio Manzano,1,3
GMar,Gerardo Martino,1,3
GN,Gary Neville,1,3
GrFC,Granada FC,2,3
HCu,Hector Cuper,1,3
IA,Imanol Alguacil,1,3
ITe,Inaki Tejada,1,3
JaC,Javier Calleja,1,3
JaCa,Javier Cabello,1,3
JaCl,Javier Clemente,1,3
JAg,Javier Aguirre,1,3
JAnq,Juan Anquela,1,3
JAP,Juan Antonio Pizzi,1,3
JAr,Jagoba Arrasate,1,3
JARo,Jose Antonio Romero,1,3
JC,Joaquín Caparrós,1,3
JCG,Juan Carlos Garrido,1,3
JCU,Juan Carlos Unzue,1,3
JE,Juan Esnáider,1,3
JFM,Jose Francisco Molina,1,3
JIM,Juan Ignacio Martinez,1,3
JLO,Jose Luis Oltra,1,3
JMe,Juan Merino,1,3
JMu,Juan Muñiz,1,3
JoG,José González,1,3
JPe,Javier Pereira,1,3
JR,Juande Ramos,1,3
JRo,Jordi Roura,1,3
JRS,José Ramón Sandoval,1,3
LAl,Lucas Alcaraz,1,3
LBl,Luis Blanco,1,3
LC,Luis Cembranos,1,3
LF,Leo Franco,1,3
LG,Luis García,1,3
LZ,Luis Zubeldia,1,3
MALo,Miguel Angel Lotina,1,3
MaMa,Manolo Marquez,1,3
MBi,Marcelo Bielsa,1,3
MD,Miroslav Djukic,1,3
Mi,Michel,1,3
MJi,Manolo Jimenez,1,3
MRo,Marcelo Romero,1,3
NE,Nico Estevez,1,3
PaF,Pablo Franco,1,3
PAy,Pako Ayestarán,1,3
PHe,Paco Herrera,1,3
PJ,Paco Jémez,1,3
PLo,Paco Lopez,1,3
PVa,Petar Vasiljevic,1,3
RBe,Real Betis Sevilla,2,3
RCC,Celta Vigo,2,3
RCD,Espanyol Barcelona,2,3
RCDM,RCD Mallorca,2,3
RK,Ronald Koeman,1,3
RM,Real Madrid,2,3
RSa,Racing Santander,2,3
RSo,Real Sociedad,2,3
RT,Ruben Torrecilla,1,3
RV,Rayo Vallecano,2,3
RVad,Real Valladolid,2,3
SAR,Real Saragossa,2,3
SBa,Sergi Barjuan,1,3
SDEi,SD Eibar,2,3
SDH,SD Huesca,2,3
Se,Sergio,1,3
SeFC,Sevilla FC,2,3
SeMa,Sergio Mantecon,1,3
SG,Sporting Gijon,2,3
SSo,Santiago Solari,1,3
TAd,Tony Adams,1,3
TV,Tito Vilanova,1,3
UDA,UD Almería,2,3
UDLe,UD Levante,2,3
UDLP,UD Las Palmas,2,3
VCF,Valencia CF,2,3
VF,Víctor Fernández,1,3
ViCF,Villarreal CF,2,3
Vo,Voro,1,3
VSa,Víctor Sánchez,1,3
ZiZi,Zinedine Zidane,1,3
AI,Andoni Iraola,1,6
AKa,Aitor Karanka,1,6
CA,Carlo Ancelotti,1,6
CC,Carlos Carvalhal,1,6
CPr,Cesare Pradelli,1,6
DM,David Moyes,1,6
DMa,Diego Martínez,1,6
EC,Eduardo Coudet,1,6
FR,Francisco Rodríguez,1,6
GPo,Gustavo Poyet,1,6
JA,Jorge Almiron,1,6
JG,Javi Gracia,1,6
JL,Julen Lopetegui,1,6
JLM,José Luis Mendilibar,1,6
JS,Jorge Sampaoli,1,6
JV,Julio Velázquez,1,6
LEn,Luis Enrique,1,6
MaP,Mauricio Pellegrino,1,6
Mar,Marcelino,1,6
MP,Mauricio Pochettino,1,6
MPe,Manuel Pellegrini,1,6
OGa,Oscar Garcia,1,6
Pa,Pacheta,1,6
PBo,Pepe Bordalás,1,6
PMa,Pablo Machin,1,6
PMe,Pepe Mel,1,6
PP,Paulo Pezzolano,1,6
QS,Quique Setién,1,6
QSF,Quique Sánchez Flores,1,6
RB,Rafael Benítez,1,6
RBa,Rubén Baraja,1,6
Ru,Rubi,1,6
SBe,Sebastián Beccacece,1,6
UM,Unai Emery,1,6
VM,Vicente Moreno,1,6
CS,Clarence Seedorf,1,6
NES,Nuno Espirito Santo,1,6
PMo,Philippe Montanier,1,6
PGu,Pep Guardiola,1,6
JM,Jose Mourinho,1,6
ML,Michael Laudrup,1,6
RMo,Robert Moreno,1,6
MCar,Miguel Cardoso,1,6
VMo,Vincenzo Montella,1,6
